text,label,source
"Login at may 2 FREE Spin! Marami na ang nakakuha ng P789 7,890. Ikaw na ang susunod na maswerte! 789bingo.com/?v=8947210",spam,bwandowando_kaggle
"Condo across Ateneo by Torre Lorenzo, only 12 studio units left. This is Josh. Reply now to schedule a presentation or to opt out of future updates.",spam,bwandowando_kaggle
"papalduhin kita ng 12k ngayon, basta ikaw na bahala sakin ah reply sa fb 'YES' ako bahala sa winning games mo FB PAGE : Yara Vespar Naka gray na sando ang profile@@",spam,bwandowando_kaggle
"B0ss pan@lunin kita sa pinata win 15k, n0w lang h@bang n@ndito pa ak0 b@sta wag ka lang p0 makalim0t sakin mess@ge mok0 sa peysbuk ko ( tanya aupadus) N@ka puti @t mAy hawak n@ juice",spam,bwandowando_kaggle
Dito nagsisimula ang saya at panalo! 8P FREE + 8888P welcome package + bonus. USE 716120 at BangoWin.com ✪,spam,bwandowando_kaggle
"okay lang ba makipag deal ako sayo? Cash in ka 100 ipapanalo kita 7k basta hati tayo 2k sakin 5k sayo ,kung sure k ame :Allexa Brielle Lim search:@officialalex09 (naka swimsuit na white ) ^&%",spam,bwandowando_kaggle
"Good day I'm Ms.Ivie from multi banking personal cash loan I'd like to offer you personal loan.100k up to 5M Unsecured loan,and can get the loan as fast as 3 to 7 banking days .If you are interested please reply YES . Thank you.",spam,bwandowando_kaggle
[FEX] Your parcel P6115DDCDD7BA couldn't reach you. Please contact the branch at 9283170245 for any concerns.,spam,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smartk.bond/rewards",malicious,bwandowando_kaggle
"Your Landbank iAccess account is about to be deducted PHP3,456.00 for AGRIBANK PH services. If this is not you, cancel it immediately at https://lbpiaccess.com-ph.click/i-revoke",malicious,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smartst.click/rewards",malicious,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smartlt.help/rewards",malicious,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smart1.cyou/rewards",malicious,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smartan.help/rewards",malicious,bwandowando_kaggle
"Globe reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://globeci.cyou/rewards",malicious,bwandowando_kaggle
"Live DJ and awesome music waiting for you. Drop by and enjoy the night with us here at Vu's Sky Bar & Lounge, Marco Polo Hotel Ortigas Manila. Thank you! Kit Miculob Vu's Receptionist",spam,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smartnr.qpon/rewards",malicious,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon:https://smartei.bond/ph",malicious,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon:https://smartp.bond/ph",malicious,bwandowando_kaggle
"Hello good day! :) Commercial lots in the first master-planned CBD in Batangas - Lima Estate - with 70 hectare existing components like The Outlets at Lipa, Aboitiz Pitch, office bldgs, Holiday Inn and residential - 40 hectare expansion area with parks and open spaces - FAR 4 to 5 lot size 1,165 to 3,215 sqm price range 75k to 93k per sqm with terms pre selling commercial lots also available in other areas kindly message me for details Erwin Sia",spam,bwandowando_kaggle
"Good day! Come and join us here at Vus Sky Bar & Lounge, Marco Polo Hotel Ortigas Manila. We’ve got a cozy and relaxing vibe—perfect for chilling out this Monday night. See you later! Thank you! Kit Miculob Vu's Receptionist",spam,bwandowando_kaggle
"Hi, Your G-Cash account has been temporarily deactivated! Please update your G-Cash as soon as possible. Confirm your account here: kycupdategcash.online Thank you for choosing GCash!",spam,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon:https://smartio.cyou/ph",malicious,bwandowando_kaggle
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon:https://smartln.shop/rewards",malicious,bwandowando_kaggle
